ingredient,fdc_id,description,data_type,brand_owner,source,flag,mapping_status,semantic_match_score,nutritional_similarity_score,reasoning,retry_attempts,search_queries_used,timestamp,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
capsicum,170427,"Peppers, sweet, green, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,95,,Direct mapping based on high semantic match score (95.0%). Step 4 (nutritional similarity) was skipped.,1,peppers sweet,2026-01-09T19:32:46.835868,0.036 g,,,,0.027 g,0.43 g,0.208 g,,,10.0 mg,84.0 kJ,,,5.5 mg,0.066 mg,7.0 µg,,0.012 g,,1.7 g,,,,,,2.0 µg,,,0.194 g,,,0.03 g,,0.01 g,,0.34 mg,0.024 g,,,0.036 g,341.0 µg,,,0.039 g,10.0 mg,,0.122 mg,0.007 g,0.008 g,,,,,,,,0.48 mg,,,,,,,,0.092 g,20.0 mg,0.062 g,175.0 mg,0.024 g,0.86 g,,,,,,,,,,0.028 mg,0.058 g,,0.054 g,,,,,,,,,3.0 mg,,,,,,0.057 mg,0.036 g,4.64 g,0.17 g,2.4 g,,0.012 g,0.012 g,0.036 g,18.0 µg,,0.099 mg,0.224 mg,80.4 mg,,0.37 mg,7.4 µg,93.89 g,0.13 mg
mozzarella,170845,"Cheese, mozzarella, whole milk",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,cheese mozzarella,2026-01-09T19:32:59.656207,0.707 g,,,,0.515 g,3.28 g,1.633 g,,,505.0 mg,1249.0 kJ,,79.0 mg,15.4 mg,0.011 mg,,,0.115 g,,,,,,,,,,,4.458 g,,,0.515 g,,0.515 g,,0.44 mg,1.135 g,,,1.826 g,,,,0.965 g,20.0 mg,,0.03 mg,0.515 g,6.573 g,,,,,,,,0.104 mg,,,,,,,,1.011 g,354.0 mg,0.765 g,76.0 mg,2.351 g,22.17 g,,,,,,,,,174.0 µg,0.283 mg,13.9 g,17.0 µg,0.735 g,,,,,,,,,486.0 mg,,,,,,0.03 mg,0.983 g,2.4 g,22.14 g,,,0.515 g,1.043 g,1.322 g,179.0 µg,2.28 µg,0.141 mg,0.037 mg,,0.4 µg,0.19 mg,2.3 µg,50.01 g,2.92 mg
red pepper flakes,170932,"Spices, pepper, red or cayenne",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,95,,Direct mapping based on high semantic match score (95.0%). Step 4 (nutritional similarity) was skipped.,1,peppers red flakes,2026-01-09T19:33:15.895704,,,,,,6.04 g,,,,148.0 mg,1331.0 kJ,,,51.5 mg,0.373 mg,6252.0 µg,,,,27.2 g,,,,,,,,,,,,,,,,7.8 mg,,,,,13157.0 µg,,,,152.0 mg,,2.0 mg,,2.75 g,,,,,,,,8.701 mg,,,,,,,,,293.0 mg,8.37 g,2014.0 mg,,12.01 g,,,,,,,,,,0.919 mg,3.26 g,8.8 µg,,,,,,,,,,30.0 mg,,,,,,0.328 mg,,56.63 g,17.27 g,10.34 g,,,,,2081.0 µg,,,2.45 mg,76.4 mg,,29.83 mg,80.3 µg,8.05 g,2.48 mg
bay leaves,170917,"Spices, bay leaf",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,bay leaves dried,2026-01-09T19:33:30.388669,,,,,,3.62 g,,,,834.0 mg,1312.0 kJ,,,,0.416 mg,,,,,26.3 g,,,,,,,,,,,,,,,,43.0 mg,,,,,,,,,120.0 mg,,8.167 mg,,1.64 g,,,,,,,,2.005 mg,,,,,,,,,113.0 mg,2.29 g,529.0 mg,,7.61 g,,,,,,,,,,0.421 mg,2.28 g,2.8 µg,,,,,,,,,,23.0 mg,,,,,,0.009 mg,,74.97 g,8.36 g,,,,,,309.0 µg,,,1.74 mg,46.5 mg,,,,5.44 g,3.7 mg
jasmine rice,2512381,"Rice, white, long grain, unenriched, raw",Foundation,,search,HIGH_CONFIDENCE,search_verified_semantic_high,90,,Direct mapping based on high semantic match score (90.0%). Step 4 (nutritional similarity) was skipped.,3,"rice jasmine, rice jasmine raw, grain rice",2026-01-09T19:33:38.969797,,,,,,0.425 g,,,,4.46 mg,369.637321 kcal,,,,0.2138 mg,,,,,0.2963 g,,,,,,,,,,,,,,,,0.1405 mg,,,,,,,,,26.53 mg,,0.9811 mg,,,,,,,,,,1.434 mg,,,,,,,,,108.2 mg,,82.26 mg,,7.03885 g,,,,,,,,,,0.08 mg,,6.6 µg,,,,,,,,,,0.4625 mg,,,,,,0.065 mg,,80.31315 g,1.033 g,,,,,,,,,0.05788 mg,,,,,11.19 g,1.354 mg
basmati rice,,,,,,NO_MAPPING_FOUND,nutritional_score_below_threshold,85,75.9,Semantic score (85.0%) was acceptable (80-89%) but nutritional similarity (75.9%) below 80% threshold after all retries.,3,"rice basmati raw, rice basmati raw fresh, grain rice",2026-01-09T19:42:42.932070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green lentils,172420,"Lentils, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,95,,Direct mapping based on high semantic match score (95.0%). Step 4 (nutritional similarity) was skipped.,1,lentils green raw,2026-01-09T19:44:51.759364,1.029 g,,,,1.903 g,2.71 g,2.725 g,,,35.0 mg,1473.0 kJ,,,96.4 mg,0.754 mg,,,0.322 g,,10.7 g,,,,,,,,,3.819 g,,,1.002 g,,0.693 g,,6.51 mg,1.065 g,,,1.786 g,,,,1.72 g,47.0 mg,,1.393 mg,0.21 g,0.193 g,,,,,,,,2.605 mg,,,,,,,,1.215 g,281.0 mg,0.526 g,677.0 mg,1.029 g,24.63 g,,,,,,,,,,0.211 mg,0.154 g,0.1 µg,1.136 g,,,,,,,,,6.0 mg,,,,,,0.873 mg,0.882 g,63.35 g,1.06 g,2.03 g,,0.221 g,0.658 g,1.223 g,2.0 µg,,2.14 mg,0.54 mg,4.5 mg,,0.49 mg,5.0 µg,8.26 g,3.27 mg
vanilla bean,173471,Vanilla extract,SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,90,,Direct mapping based on high semantic match score (90.0%). Step 4 (nutritional similarity) was skipped.,3,"vanilla bean pod, vanilla beans raw, vanilla",2026-01-09T19:45:13.663532,,34.4 g,,,,0.26 g,,,,11.0 mg,1205.0 kJ,,,,0.072 mg,,,,,,,,,,,,,,,,,,,,,0.12 mg,,,,,,,,,12.0 mg,,0.23 mg,,0.01 g,,,,,,,,0.425 mg,,,,,,,,,6.0 mg,0.004 g,148.0 mg,,0.06 g,,,,,,,,,,0.095 mg,0.01 g,,,,,,,,,,,9.0 mg,,,,,,0.011 mg,,12.65 g,0.06 g,12.65 g,,,,,,,0.035 mg,0.026 mg,,,,,52.58 g,0.11 mg
cocoa powder,169593,"Cocoa, dry powder, unsweetened",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,cocoa powder unsweetened,2026-01-09T19:46:51.791198,0.904 g,,,,1.111 g,5.8 g,1.953 g,,230.0 mg,128.0 mg,952.0 kJ,,,12.0 mg,3.788 mg,,,0.239 g,,37.0 g,,,,,,,,,2.948 g,,,0.879 g,,0.339 g,,13.86 mg,0.76 g,,,1.189 g,38.0 µg,,,0.983 g,499.0 mg,,3.837 mg,0.202 g,4.57 g,,,,,,,,2.185 mg,,,,,,,,0.941 g,734.0 mg,0.44 g,1524.0 mg,0.838 g,19.6 g,,,,,,,,,,0.241 mg,8.07 g,14.3 µg,0.846 g,,,,,,,,,21.0 mg,,,,,2057.0 mg,0.078 mg,0.776 g,57.9 g,13.7 g,1.75 g,,0.293 g,0.735 g,1.177 g,,,0.254 mg,0.118 mg,,,0.1 mg,2.5 µg,3.0 g,6.81 mg
dijon mustard,,,,,,NO_MAPPING_FOUND,no_search_results,65,69.1,No search results found after 3 attempts with different queries,3,"mustard dijon, mustard dijon raw, dijon",2026-01-09T19:47:06.389218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
